1,0.344,137,576,488,96,168,28,3,23,271,75,13,3,1,6,81,2,0,67,6,0.555,0.433
2,0.335,129,528,466,76,156,26,8,29,285,95,16,11,3,3,53,1,3,79,10,0.612,0.404
3,0.322,133,561,469,89,151,28,4,44,319,110,0,1,0,2,87,1,3,105,6,0.68,0.43
4,0.315,141,640,574,92,181,22,3,13,248,56,13,5,23,3,40,0,0,106,3,0.432,0.358
5,0.311,131,523,453,52,141,25,3,11,205,59,0,1,0,6,61,5,3,78,6,0.453,0.392
6,0.304,133,590,481,102,146,26,3,38,292,102,30,2,0,4,97,0,8,101,16,0.607,0.425
7,0.302,143,576,529,58,160,32,0,25,267,81,1,3,2,2,38,0,5,83,21,0.505,0.354
8,0.302,103,458,420,48,127,22,1,1,154,32,3,0,1,2,34,0,1,31,13,0.367,0.354
9,0.3,132,513,454,66,136,23,2,19,220,101,0,1,0,4,54,1,1,101,12,0.485,0.372
10,0.295,141,607,526,74,155,14,5,0,179,39,7,4,5,5,63,0,8,66,5,0.34,0.375
11,0.294,141,566,534,38,157,19,2,1,183,38,2,3,5,3,22,0,2,98,13,0.343,0.323
12,0.292,143,656,599,80,175,27,9,3,229,27,26,12,4,1,46,1,6,69,3,0.382,0.348
13,0.291,143,652,557,98,162,30,8,20,268,90,23,9,1,3,84,1,7,107,9,0.481,0.389
14,0.284,133,522,462,80,131,23,2,11,191,49,19,11,8,0,38,0,14,93,5,0.413,0.356
15,0.283,143,618,576,58,163,28,4,11,232,42,8,2,1,3,33,0,5,78,7,0.403,0.326
16,0.275,134,530,494,48,136,23,5,8,193,65,5,4,2,3,27,1,4,109,8,0.391,0.316
17,0.274,119,471,416,63,114,22,0,22,202,68,1,0,0,3,44,0,8,68,13,0.486,0.352
18,0.273,107,450,396,69,108,20,4,18,190,56,26,7,1,0,49,0,4,110,2,0.48,0.359
19,0.269,132,537,457,64,123,20,0,31,236,96,0,1,0,5,72,2,3,116,19,0.516,0.369
20,0.265,143,679,581,102,154,17,3,13,216,39,28,19,3,1,77,1,17,119,1,0.372,0.367
21,0.263,123,518,483,66,127,27,1,34,258,95,0,0,0,7,24,0,4,75,12,0.534,0.299
22,0.258,123,465,422,48,109,22,1,24,205,68,0,1,0,0,39,0,4,106,10,0.486,0.327
23,0.255,139,554,498,58,127,20,0,22,213,79,2,1,0,3,48,3,5,130,13,0.428,0.325
24,0.254,131,507,456,38,116,25,3,6,165,46,1,1,20,2,27,0,2,69,14,0.362,0.298
25,0.248,118,494,416,61,103,24,1,14,171,73,4,2,0,4,72,1,2,89,5,0.411,0.358
26,0.236,143,533,449,49,106,16,1,7,145,36,13,3,1,6,75,0,2,80,12,0.323,0.344
27,0.204,129,458,398,27,81,12,1,4,107,35,2,1,19,1,36,5,4,76,10,0.269,0.276
28,0.339,143,607,525,74,178,30,5,8,242,69,12,4,2,6,68,6,6,64,8,0.461,0.417
29,0.314,138,593,493,76,155,18,4,5,196,43,41,5,22,2,73,0,3,113,0,0.398,0.405
30,0.309,143,611,557,73,172,40,0,24,284,82,8,6,3,6,38,0,7,108,18,0.51,0.357
31,0.306,143,616,532,79,163,24,1,17,240,70,53,17,0,2,75,5,7,84,13,0.451,0.398
32,0.306,120,536,428,82,131,31,4,18,224,73,23,2,0,0,100,2,8,97,8,0.523,0.446
33,0.304,141,605,556,62,169,19,0,18,242,106,3,2,0,9,38,2,2,53,27,0.435,0.345
34,0.296,143,671,578,98,171,32,4,11,244,62,18,6,0,6,77,2,10,103,2,0.422,0.385
35,0.293,130,555,495,66,145,24,1,14,213,61,5,6,7,1,42,1,10,121,10,0.43,0.359
36,0.287,143,612,488,69,140,21,1,7,184,50,6,5,9,4,99,4,12,53,8,0.377,0.416
37,0.285,143,583,501,62,143,30,2,6,195,61,3,1,16,7,50,2,9,56,9,0.389,0.356
38,0.284,123,513,454,56,129,25,0,20,214,76,5,1,0,5,47,5,7,105,12,0.471,0.357
39,0.28,134,570,496,81,139,27,0,24,238,92,0,3,0,7,64,3,3,89,25,0.48,0.361
40,0.279,135,569,477,52,133,30,2,3,176,41,0,0,0,3,83,0,6,87,9,0.369,0.39
41,0.278,117,481,424,56,118,20,7,7,173,40,11,4,21,2,30,0,4,95,8,0.408,0.33
42,0.274,125,497,424,39,116,17,1,2,141,43,1,1,4,3,61,5,5,49,20,0.333,0.369
43,0.273,118,488,403,51,110,15,1,1,130,34,6,6,35,4,42,0,4,53,4,0.323,0.344
44,0.272,143,626,541,61,147,14,1,2,169,53,22,8,3,4,69,3,9,56,4,0.312,0.361
45,0.265,129,520,460,64,122,12,3,1,143,33,53,17,13,1,40,0,6,69,5,0.311,0.331
46,0.265,140,589,517,74,137,25,2,27,247,88,2,1,0,2,58,0,12,123,10,0.478,0.351
47,0.265,120,449,408,27,108,13,5,0,131,46,1,1,18,3,19,0,1,44,7,0.321,0.297
48,0.264,143,610,538,63,142,16,7,2,178,33,16,5,13,1,56,0,2,55,7,0.331,0.335
49,0.263,143,598,547,71,144,21,0,39,282,97,0,0,0,4,44,1,3,138,16,0.516,0.319
50,0.259,143,609,548,79,142,23,5,27,256,85,6,6,0,5,48,2,8,141,14,0.467,0.325
51,0.252,137,583,511,73,129,26,0,35,260,103,1,1,0,7,59,4,6,148,15,0.509,0.333
52,0.252,127,485,420,44,106,13,4,6,145,35,7,9,6,3,46,2,10,49,4,0.345,0.338
53,0.25,141,624,569,61,142,26,1,25,245,110,2,1,0,5,47,1,3,126,14,0.431,0.308
54,0.245,137,590,497,74,122,22,5,10,184,56,8,4,38,5,47,0,3,86,7,0.37,0.312
55,0.243,143,600,473,66,115,10,1,0,127,28,23,9,62,1,63,0,1,117,5,0.268,0.333
56,0.336,143,632,581,87,195,34,1,8,255,57,4,3,2,2,43,0,3,72,15,0.439,0.383
57,0.329,143,646,557,119,183,39,2,38,340,100,34,4,0,3,81,1,5,111,11,0.61,0.416
58,0.317,138,568,496,79,157,28,1,24,259,93,0,0,0,2,68,0,2,98,5,0.522,0.4
59,0.292,134,564,496,61,145,26,1,8,197,60,11,0,0,6,57,2,5,77,13,0.397,0.367
60,0.291,140,565,516,63,150,29,1,25,256,73,1,1,0,3,44,3,2,82,14,0.496,0.347
61,0.283,130,559,491,76,139,27,3,13,211,53,11,7,1,0,64,1,3,86,5,0.43,0.369
62,0.281,143,646,551,69,155,21,4,6,202,42,9,6,2,3,89,2,1,77,8,0.367,0.38
63,0.281,140,569,495,53,139,24,3,20,229,76,1,2,1,7,65,1,1,75,15,0.463,0.361
64,0.276,140,583,544,46,150,27,0,9,204,59,0,1,0,5,31,0,3,77,21,0.375,0.316
65,0.275,134,578,520,70,143,35,2,13,221,66,28,13,2,2,54,0,0,132,4,0.425,0.342
66,0.275,125,480,426,52,117,22,2,7,164,57,3,0,0,4,48,1,2,73,15,0.385,0.348
67,0.274,141,590,543,61,149,33,9,8,224,45,6,7,5,1,34,2,7,105,8,0.413,0.325
68,0.271,143,601,520,49,141,28,0,17,220,72,0,1,0,3,72,1,6,134,15,0.423,0.364
69,0.271,138,548,498,54,135,27,2,11,199,58,5,3,10,4,35,1,0,106,13,0.4,0.317
70,0.27,141,585,551,57,149,33,4,8,214,60,7,4,1,3,27,1,3,82,7,0.388,0.307
71,0.269,130,558,479,50,129,21,3,12,192,68,10,4,9,5,65,1,0,79,5,0.401,0.353
72,0.268,137,584,512,64,137,26,0,26,241,105,0,0,0,8,62,0,2,92,10,0.471,0.344
73,0.26,142,620,565,70,147,20,4,6,193,27,22,8,10,1,39,1,5,65,5,0.342,0.313
74,0.258,139,525,465,38,120,23,0,13,182,56,0,0,0,5,43,2,12,62,12,0.391,0.333
75,0.254,143,644,562,62,143,20,3,8,193,32,19,9,49,2,29,2,2,92,7,0.343,0.292
76,0.253,108,452,375,44,95,18,1,4,127,31,19,11,29,0,44,1,4,69,1,0.339,0.338
77,0.251,130,479,434,49,109,20,3,15,180,52,3,2,5,2,34,0,4,81,12,0.415,0.31
78,0.249,143,633,530,81,132,28,1,19,219,63,15,7,4,4,94,2,1,143,4,0.413,0.361
79,0.231,136,502,442,36,102,14,0,2,122,33,3,2,14,2,40,1,4,80,9,0.276,0.299
80,0.363,138,605,502,110,182,31,1,34,317,99,32,8,0,1,88,4,14,101,9,0.631,0.469
81,0.359,143,675,602,108,216,36,10,14,314,55,17,17,7,2,60,2,4,78,6,0.522,0.419
82,0.326,129,504,435,68,142,33,2,8,203,60,6,2,3,5,59,2,2,59,9,0.467,0.405
83,0.317,130,548,489,67,155,38,4,15,246,67,10,4,0,2,54,0,3,93,11,0.503,0.387
84,0.3,135,590,506,58,152,22,0,1,177,39,7,4,9,3,66,0,6,47,7,0.35,0.386
85,0.293,111,484,427,57,125,20,5,6,173,52,8,4,7,2,47,0,1,52,12,0.405,0.363
86,0.287,143,603,533,91,153,22,2,35,284,94,8,10,0,8,60,3,2,135,17,0.533,0.357
87,0.287,138,531,474,51,136,33,1,17,222,68,0,4,0,3,44,3,9,143,5,0.468,0.357
88,0.284,134,596,532,62,151,20,2,4,187,66,9,3,5,1,57,0,1,58,9,0.352,0.354
89,0.284,136,585,529,60,150,24,1,11,209,82,1,0,0,7,45,2,4,55,24,0.395,0.34
90,0.282,141,584,510,68,144,30,0,31,267,98,0,1,0,3,62,0,9,109,17,0.524,0.368
91,0.278,139,599,521,82,145,35,0,37,291,124,1,0,0,3,68,4,7,172,12,0.559,0.367
92,0.276,125,521,442,68,122,18,9,5,173,35,30,7,15,0,60,2,4,98,1,0.391,0.368
93,0.27,111,451,392,38,106,14,1,5,137,43,8,3,16,7,28,2,8,30,3,0.349,0.326
94,0.27,141,627,537,88,145,19,2,13,207,81,12,9,2,7,69,0,12,136,13,0.385,0.362
95,0.268,125,492,406,51,109,20,1,17,182,40,1,3,0,0,70,0,16,111,5,0.448,0.396
96,0.268,142,622,533,66,143,25,0,10,198,42,3,1,8,4,72,0,5,88,15,0.371,0.358
97,0.264,143,617,515,69,136,8,2,0,148,39,34,7,34,0,66,0,2,93,10,0.287,0.35
98,0.263,143,611,539,72,142,26,0,30,258,102,1,0,0,7,64,4,1,120,11,0.479,0.339
99,0.263,142,564,487,60,128,24,4,6,178,50,1,5,24,3,47,1,3,58,10,0.366,0.33
100,0.262,132,565,484,61,127,22,0,17,200,68,11,4,0,1,72,2,8,78,10,0.413,0.366
101,0.256,126,501,445,52,114,17,1,10,163,48,14,2,7,3,43,3,3,82,7,0.366,0.324
102,0.255,133,532,501,48,128,23,1,16,201,73,0,0,0,5,24,1,2,66,7,0.401,0.289
103,0.24,117,483,417,43,100,19,0,10,149,46,1,2,0,1,53,1,12,93,10,0.357,0.342
104,0.239,139,593,506,57,121,16,3,11,176,55,16,15,29,4,48,0,6,68,11,0.348,0.31
105,0.237,117,444,413,31,98,18,0,9,143,42,13,8,10,4,12,0,5,48,8,0.346,0.265
106,0.235,135,525,473,52,111,31,0,27,223,89,0,0,0,2,45,1,5,153,14,0.471,0.307
107,0.231,143,554,498,62,115,22,2,34,243,97,1,0,0,4,43,0,9,129,18,0.488,0.301
108,0.228,142,530,457,52,104,18,3,7,149,45,3,3,35,4,34,0,0,83,13,0.326,0.279
109,0.211,133,443,399,31,84,16,0,4,112,35,0,0,22,2,16,0,4,87,7,0.281,0.247